,ghi,t_air,e,tp,windspeed
2022-01-01 00:00:00,0.0,21.43814,-0.25256583,1.7757416,4.563715
2022-01-01 01:00:00,0.0,20.62735,-0.24142629,3.2606125,4.0291047
2022-01-01 02:00:00,0.0,20.110748,-0.2054309,3.4313202,2.8593197
2022-01-01 03:00:00,0.0,20.354645,-0.17189305,2.6245117,2.4978178
2022-01-01 04:00:00,0.6933333,20.98404,-0.18811412,1.2741089,2.1175473
2022-01-01 05:00:00,23.928888,20.802643,-0.19621128,1.5439987,1.6371384
2022-01-01 06:00:00,96.12444,21.027008,-0.22520638,0.6494522,1.8071947
2022-01-01 07:00:00,47.484444,20.66397,-0.15726686,2.0627975,2.397194
2022-01-01 08:00:00,87.00445,20.828522,-0.16837475,0.6427765,2.7883863
2022-01-01 09:00:00,245.31555,21.684479,-0.16583246,0.538826,3.1566832
2022-01-01 10:00:00,464.26666,21.982574,-0.17860252,0.35381317,3.1734383
2022-01-01 11:00:00,496.81778,22.381256,-0.1963249,0.13113022,3.6930985
2022-01-01 12:00:00,539.94666,22.694244,-0.21279323,0.01335144,4.466457
2022-01-01 13:00:00,481.70667,22.942535,-0.22031157,0.0,4.521194
2022-01-01 14:00:00,282.9689,23.23941,-0.2110349,0.0,4.4290075
2022-01-01 15:00:00,182.08,23.42862,-0.18913788,0.0,4.164818
2022-01-01 16:00:00,33.99111,23.598541,-0.15797815,0.0014305115,3.6684513
2022-01-01 17:00:00,0.0,23.792389,-0.15017042,0.0023841858,3.525894
2022-01-01 18:00:00,0.0,23.956451,-0.15389757,0.0,3.0622745
2022-01-01 19:00:00,0.0,23.83609,-0.18043351,0.1282692,3.0417998
2022-01-01 20:00:00,0.0,23.953522,-0.18139067,0.25129318,3.2143307
2022-01-01 21:00:00,0.0,23.966705,-0.19287388,0.1988411,3.8558238
2022-01-01 22:00:00,0.0,23.246979,-0.20498177,0.0,4.628322
2022-01-01 23:00:00,0.0,22.752594,-0.19818614,0.13256073,4.160474
2022-01-02 00:00:00,0.0,22.939362,-0.1902089,0.15830994,3.983781
2022-01-02 01:00:00,0.0,23.027008,-0.174426,0.044822693,3.9939845
2022-01-02 02:00:00,0.0,22.489899,-0.15703729,0.32043457,3.627149
2022-01-02 03:00:00,0.0,22.424957,-0.14729215,0.22745132,2.962751
2022-01-02 04:00:00,1.44,22.210358,-0.13887045,0.27751923,2.2781196
2022-01-02 05:00:00,87.91111,22.19815,-0.11984888,0.04673004,1.818273
2022-01-02 06:00:00,284.17776,22.460602,-0.10473421,0.015735626,1.4481801
2022-01-02 07:00:00,531.2178,22.667389,-0.102185175,0.002861023,1.3244828
2022-01-02 08:00:00,721.28,22.620758,-0.116734296,0.011920929,1.6227245
2022-01-02 09:00:00,874.43555,22.940582,-0.15507871,0.02002716,2.3939521
2022-01-02 10:00:00,761.74225,23.534332,-0.19571558,0.02670288,2.920906
2022-01-02 11:00:00,866.13336,23.768951,-0.22553304,0.012874603,3.46026
2022-01-02 12:00:00,819.9644,23.978424,-0.24739629,0.0,3.804089
2022-01-02 13:00:00,660.7822,24.268219,-0.25815168,0.0,3.974091
2022-01-02 14:00:00,445.40445,24.588287,-0.2606665,0.0,3.8463964
2022-01-02 15:00:00,224.14223,24.874908,-0.25581196,0.0,3.891637
2022-01-02 16:00:00,49.84889,25.020905,-0.2462652,0.0,3.7224061
2022-01-02 17:00:00,0.0,25.18985,-0.2151418,0.0,3.258748
2022-01-02 18:00:00,0.0,25.276276,-0.17250073,0.0,2.9684904
2022-01-02 19:00:00,0.0,25.324615,-0.20211352,0.0,2.8705108
2022-01-02 20:00:00,0.0,25.348297,-0.19206642,0.0,2.9090488
2022-01-02 21:00:00,0.0,25.358307,-0.18727872,0.0,2.9289763
2022-01-02 22:00:00,0.0,25.276276,-0.17127395,0.0,2.424247
2022-01-02 23:00:00,0.0,25.163727,-0.1334534,0.0,1.541795
2022-01-03 00:00:00,0.0,24.890778,-0.11088443,0.0,1.8378998
2022-01-03 01:00:00,0.0,24.002838,-0.122319445,0.19788742,1.8713672
2022-01-03 02:00:00,0.0,23.817047,-0.13913703,0.0023841858,1.4700886
2022-01-03 03:00:00,0.0,22.5961,-0.13761805,1.1029243,1.7498009
2022-01-03 04:00:00,1.1555556,21.06314,-0.12757233,1.9054413,0.28681782
2022-01-03 05:00:00,61.884445,21.370026,-0.15998189,1.0800362,1.239192
2022-01-03 06:00:00,237.2089,21.90567,-0.18662517,0.0019073486,0.9386642
2022-01-03 07:00:00,523.7867,22.457184,-0.09085447,0.77819824,0.6743203
2022-01-03 08:00:00,568.64,23.089996,-0.119748995,0.2784729,0.6456349
2022-01-03 09:00:00,745.20886,23.633698,-0.119283795,0.0076293945,1.3436528
2022-01-03 10:00:00,895.4489,22.897125,-0.16612816,0.0,2.2426233
2022-01-03 11:00:00,837.9022,23.27359,-0.20928751,0.0,3.608996
2022-01-03 12:00:00,729.10223,23.676422,-0.26119384,0.0,4.7065253
2022-01-03 13:00:00,634.64886,24.093658,-0.28886554,0.0,4.9218607
2022-01-03 14:00:00,430.04443,24.506744,-0.29195753,0.0,4.6621313
2022-01-03 15:00:00,232.46222,24.790924,-0.279163,0.0,4.914568
2022-01-03 16:00:00,48.782223,24.973297,-0.26968354,0.0,4.3524094
2022-01-03 17:00:00,0.0,25.085358,-0.24253945,0.0,3.82936
2022-01-03 18:00:00,0.0,25.212067,-0.2264292,0.0,3.9218118
2022-01-03 19:00:00,0.0,25.328522,-0.24286377,0.0,4.138698
2022-01-03 20:00:00,0.0,25.39151,-0.23264787,0.0,3.638613
2022-01-03 21:00:00,0.0,25.36905,-0.197632,0.0,2.6520584
2022-01-03 22:00:00,0.0,24.983551,-0.14975783,0.0,2.5692024
2022-01-03 23:00:00,0.0,24.772858,-0.1086411,0.0,1.3511852
2022-01-04 00:00:00,0.0,24.03946,-0.1092793,0.15068054,1.3707894
2022-01-04 01:00:00,0.0,23.731598,-0.13247715,0.15163422,3.6487422
2022-01-04 02:00:00,0.0,22.286041,-0.1778223,1.0633469,4.0522437
2022-01-04 03:00:00,0.0,22.59317,-0.21291687,0.19836426,3.2194362
2022-01-04 04:00:00,1.2977778,22.949615,-0.1902685,0.0,2.1176374
2022-01-04 05:00:00,85.90222,23.003326,-0.15579979,0.089645386,2.0174098
2022-01-04 06:00:00,254.50667,22.855621,-0.13413326,0.10633469,1.8714894
2022-01-04 07:00:00,246.08,23.032867,-0.13715774,0.73337555,2.2130089
2022-01-04 08:00:00,563.84,23.309479,-0.14884537,0.14305115,1.8943526
2022-01-04 09:00:00,768.67554,23.61856,-0.14413056,0.0104904175,1.6401955
2022-01-04 10:00:00,827.1111,22.264069,-0.17647329,0.0,2.4890952
2022-01-04 11:00:00,740.9067,22.895416,-0.22340077,0.0,3.9244409
2022-01-04 12:00:00,831.5022,23.562164,-0.29485813,0.0,5.0003543
2022-01-04 13:00:00,694.1689,23.96939,-0.33063674,0.0,4.9873652
2022-01-04 14:00:00,474.24,24.339264,-0.3421451,0.0,4.6045675
2022-01-04 15:00:00,245.38667,24.562897,-0.3115104,0.0,4.059497
2022-01-04 16:00:00,46.506668,24.76236,-0.27461606,0.0,4.157421
2022-01-04 17:00:00,0.0,24.876862,-0.25704363,0.0,4.003923
2022-01-04 18:00:00,0.0,25.038727,-0.24050078,0.0,3.1940863
2022-01-04 19:00:00,0.0,25.183014,-0.19748671,0.0,2.534813
2022-01-04 20:00:00,0.0,25.19522,-0.1760621,0.0,2.5499775
2022-01-04 21:00:00,0.0,25.137604,-0.17111073,0.0,2.3869116
2022-01-04 22:00:00,0.0,24.885895,-0.15972997,0.0,1.9502292
2022-01-04 23:00:00,0.0,24.588776,-0.15591784,0.2360344,2.1005464
2022-01-05 00:00:00,0.0,24.454742,-0.15596953,0.0,2.5130277
2022-01-05 01:00:00,0.0,23.787262,-0.18269661,0.3004074,3.0728962
2022-01-05 02:00:00,0.0,23.935211,-0.18802704,0.0,3.1693983
2022-01-05 03:00:00,0.0,23.933014,-0.18706359,0.0,2.966649
2022-01-05 04:00:00,1.2622222,23.699615,-0.18953532,0.0,2.872058
2022-01-05 05:00:00,95.73333,23.113678,-0.17533079,0.25081635,2.8566968
2022-01-05 06:00:00,267.1111,23.052887,-0.15897606,0.33950806,2.7110445
2022-01-05 07:00:00,548.74664,23.083649,-0.14693779,0.026226044,2.3309097
2022-01-05 08:00:00,667.0578,23.362701,-0.15405193,0.04529953,1.8303142
2022-01-05 09:00:00,877.1556,23.496246,-0.15941542,0.0038146973,2.128191
2022-01-05 10:00:00,844.69336,24.094635,-0.194296,0.030994415,2.4006426
2022-01-05 11:00:00,825.20886,24.255524,-0.23523065,0.03671646,3.5500042
2022-01-05 12:00:00,699.3422,24.561432,-0.28028014,0.0,4.3462853
2022-01-05 13:00:00,601.92,24.7211,-0.3055376,0.0,4.5657535
2022-01-05 14:00:00,405.44,24.8378,-0.3093488,0.0,4.1613398
2022-01-05 15:00:00,245.31555,25.02945,-0.3044212,0.0,4.3442492
2022-01-05 16:00:00,46.826668,25.08902,-0.26668724,0.0,3.658611
2022-01-05 17:00:00,0.0,25.129791,-0.21380442,0.0,2.8651311
2022-01-05 18:00:00,0.0,25.19278,-0.19119354,0.0,2.4901655
2022-01-05 19:00:00,0.0,25.23111,-0.19358028,0.0,2.2510464
