,ghi,t_air,e,tp,windspeed
2022-01-01 00:00:00,0.0,22.96939,-0.005027745,0.0,2.7133641
2022-01-01 01:00:00,0.0,22.205475,-0.004169997,0.0,2.4177527
2022-01-01 02:00:00,0.0,20.511139,-0.0035499688,0.0,2.07025
2022-01-01 03:00:00,0.0,19.946442,-0.0029138755,0.0,1.764033
2022-01-01 04:00:00,0.0,19.243805,-0.0024158508,0.0,1.7185907
2022-01-01 05:00:00,53.12,22.277252,-0.008009607,0.0,1.868971
2022-01-01 06:00:00,245.68889,24.714508,-0.03500795,0.0,0.7706492
2022-01-01 07:00:00,522.79114,26.60733,-0.10186434,0.0,0.40175983
2022-01-01 08:00:00,747.07556,29.65274,-0.1639044,0.0,0.2587759
2022-01-01 09:00:00,927.4311,30.336823,-0.22841734,0.008583069,0.72399175
2022-01-01 10:00:00,1027.2178,33.75406,-0.2617808,0.002861023,0.35865197
2022-01-01 11:00:00,901.4756,33.85782,-0.2349189,0.0,1.2301005
2022-01-01 12:00:00,988.51556,34.90909,-0.25669205,0.0,2.0854652
2022-01-01 13:00:00,865.9911,35.085114,-0.22737472,0.0,2.8161044
2022-01-01 14:00:00,739.68,35.260895,-0.19893515,0.0009536743,3.0669317
2022-01-01 15:00:00,561.8489,33.344635,-0.15835208,0.0038146973,2.7609339
2022-01-01 16:00:00,337.28,32.42862,-0.11595688,0.048160553,2.7780135
2022-01-01 17:00:00,104.28445,29.589264,-0.04934915,0.01335144,3.005042
2022-01-01 18:00:00,3.2355556,28.421295,-0.014184276,0.011444092,3.0088277
2022-01-01 19:00:00,0.0,27.289215,-0.013868324,0.0,3.7774127
2022-01-01 20:00:00,0.0,26.943756,-0.011249213,0.0,4.357287
2022-01-01 21:00:00,0.0,26.109283,-0.008755131,0.0,4.341053
2022-01-01 22:00:00,0.0,24.95401,-0.0071837567,0.0,4.785065
2022-01-01 23:00:00,0.0,24.490875,-0.0061101746,0.0,5.0825634
2022-01-02 00:00:00,0.0,23.497955,-0.0054345,0.0,3.7371893
2022-01-02 01:00:00,0.0,23.50943,-0.0045527704,0.0,3.2049847
2022-01-02 02:00:00,0.0,21.657867,-0.0034957193,0.0,2.5775447
2022-01-02 03:00:00,0.0,20.83902,-0.0025422778,0.0,1.8769997
2022-01-02 04:00:00,0.0,20.370514,-0.001928769,0.0,1.9709063
2022-01-02 05:00:00,58.86222,20.950104,-0.006004004,0.0,2.0295675
2022-01-02 06:00:00,263.9111,23.997711,-0.029185321,0.0,2.4662595
2022-01-02 07:00:00,521.74225,27.247467,-0.076525375,0.0,3.6376328
2022-01-02 08:00:00,745.7778,28.419586,-0.12284377,0.0,4.1967278
2022-01-02 09:00:00,925.6,29.31363,-0.17328793,0.023841858,4.0648155
2022-01-02 10:00:00,1039.4312,32.579254,-0.21335855,0.023841858,3.928473
2022-01-02 11:00:00,975.8578,32.839264,-0.21554926,0.0166893,3.5604506
2022-01-02 12:00:00,936.6222,33.23233,-0.21628267,0.0038146973,2.8411946
2022-01-02 13:00:00,800.32,33.277985,-0.19997755,0.006198883,2.3776312
2022-01-02 14:00:00,643.8578,32.650787,-0.17283903,0.014305115,2.4080007
2022-01-02 15:00:00,473.95557,33.324127,-0.1343973,0.011920929,2.501968
2022-01-02 16:00:00,315.2,33.052155,-0.09713438,0.024318695,2.4761302
2022-01-02 17:00:00,102.18667,31.154694,-0.05009654,0.018119812,0.8426604
2022-01-02 18:00:00,3.7333333,28.594635,-0.012283446,0.0,1.3565787
2022-01-02 19:00:00,0.0,27.500397,-0.02002134,0.0,1.9921868
2022-01-02 20:00:00,0.0,25.96939,-0.015040627,0.017166138,3.574144
2022-01-02 21:00:00,0.0,25.690338,-0.026375987,0.04005432,3.0540411
