,ghi,t_air,e,tp,windspeed
2022-04-30 18:00:00,3.4722223e-05,27.490845,-0.16858055,4.656613e-07,8.397165
2022-04-30 19:00:00,3.4722223e-05,27.08435,-0.16733849,4.656613e-07,8.302933
2022-04-30 20:00:00,3.4722223e-05,26.778656,-0.15133904,4.656613e-07,7.7870755
2022-04-30 21:00:00,3.4722223e-05,26.518646,-0.14444245,4.656613e-07,7.5728426
2022-04-30 22:00:00,3.4722223e-05,26.337555,-0.13056418,4.656613e-07,6.9463787
2022-04-30 23:00:00,3.4722223e-05,26.161987,-0.12775676,0.0018929131,6.7692003
2022-05-01 00:00:00,3.4722223e-05,25.958618,-0.124178015,0.0056773424,6.691148
2022-05-01 01:00:00,3.4722223e-05,25.76358,-0.1410225,0.0005052425,6.814406
2022-05-01 02:00:00,3.4722223e-05,25.711304,-0.13493694,0.0032805838,7.018545
2022-05-01 03:00:00,3.4722223e-05,25.649384,-0.13376293,0.009083655,7.1229367
2022-05-01 04:00:00,3.4722223e-05,25.513824,-0.13789183,0.009083655,6.458723
2022-05-01 05:00:00,3.4722223e-05,25.465271,-0.1417258,0.010976102,6.3147626
2022-05-01 06:00:00,34.317326,25.537933,-0.14219086,0.01286855,6.346669
2022-05-01 07:00:00,216.39525,25.884003,-0.14869611,0.042389147,7.5958085
2022-05-01 08:00:00,384.58243,26.653503,-0.18373492,0.018166844,8.347379
2022-05-01 09:00:00,552.4915,27.387604,-0.20242833,0.004289672,8.659512
2022-05-01 10:00:00,677.1525,28.006683,-0.21296607,0.003784895,8.780091
2022-05-01 11:00:00,688.1383,28.489655,-0.21862628,0.0005052425,8.549213
2022-05-01 12:00:00,752.67834,28.843231,-0.21382815,4.656613e-07,8.536344
2022-05-01 13:00:00,744.4737,29.054901,-0.22430348,4.656613e-07,8.681613
2022-05-01 14:00:00,610.65015,28.924194,-0.22526197,4.656613e-07,8.786971
2022-05-01 15:00:00,417.40097,28.9198,-0.23945218,4.656613e-07,8.653711
2022-05-01 16:00:00,191.41052,28.864227,-0.26917675,4.656613e-07,8.385597
2022-05-01 17:00:00,22.218992,28.309265,-0.2704245,4.656613e-07,8.395418
2022-05-01 18:00:00,3.4722223e-05,27.558563,-0.24474941,4.656613e-07,8.795019
2022-05-01 19:00:00,3.4722223e-05,26.976257,-0.20592767,4.656613e-07,9.120764
2022-05-01 20:00:00,3.4722223e-05,26.716492,-0.16839339,4.656613e-07,8.650039
2022-05-01 21:00:00,3.4722223e-05,26.637817,-0.16454808,4.656613e-07,8.620359
