t_air_is,windspeed_is,tp_is,ghi_is,e_is,ghi_r,t_air_r,e_r,tp_r,windspeed_r
19.16666667,1.34112,0,0,0,0,17.237,-0.004736066,0.00387663,1.0352432
19.72222222,0.44704,0,0,0,0,16.91806,-0.004725327,0.14972873,1.1765847
19.44444444,0.67056,0,0,0,0,16.775116,-0.006014016,0.047648326,0.7094448
19.44444444,0.22352,0,0,0,0,17.042572,-0.004134694,0.015183352,0.60349154
18.88888889,0.44704,0,0,0,0,16.42575,-0.003973604,0.008560717,0.40054896
18.88888889,0.44704,0,2,0,0,16.611725,-0.008258445,0.012921635,0.5288292
19.72222222,0.89408,0,71.5,0,11.9280205,16.812927,-0.006196584,0.030527357,0.47430822
22.5,0.22352,0,342.5,0,76.408264,17.78189,-0.06807453,0.08447468,0.1447744
24.44444444,1.1176,0,562,0.254,171.42784,20.155487,-0.12364869,0.13163826,0.29196873
25.83333333,1.56464,0,728.5,0.508,259.44946,21.070587,-0.19164784,0.41478127,1.0225801
26.38888889,1.78816,0,660.5,0.508,303.3254,20.768158,-0.24343117,1.7613661,1.124472
24.72222222,2.2352,0,373.5,0.254,441.7264,21.609833,-0.34319618,1.3409318,0.802349
23.33333333,0.89408,6.096,127,0.254,492.46548,21.857086,-0.36321363,0.58082306,0.8541955
23.05555556,1.78816,0,203.5,0,362.7857,20.996948,-0.35150814,2.8428981,0.9528703
20.83333333,3.12928,0,31,0,237.13687,19.361603,-0.27691525,3.4342194,0.39132848
18.61111111,1.56464,15.24,7,0,173.30098,19.254059,-0.19302243,2.670234,0.3144034
18.61111111,0.67056,2.032,13.5,0,55.204582,17.28894,-0.07420647,2.6183865,0.5916404
18.05555556,0.22352,0.762,9,0,39.410416,17.056702,-0.052868128,3.425659,0.2577009
18.05555556,0.44704,0,0,0,6.518472,16.623901,-0.028576586,5.2290196,1.1072778
18.33333333,0.22352,0,0,0,0,16.865723,-0.019985396,7.3279605,1.0855108
18.05555556,0.22352,0,0,0,0,16.852448,-0.018353079,9.158133,1.1180053
18.33333333,1.56464,0,0,0,0,16.6026,-0.01704294,10.0975275,1.0290701
18.61111111,0.44704,0,0,0,0,16.303436,-0.018299382,9.290256,0.89537567
18.33333333,0.89408,0,0,0,0,16.124847,-0.02088747,8.171575,1.0937067
18.33333333,0.44704,0,0,0,0,15.992554,-0.024388399,6.1879587,1.3096496
18.88888889,0.67056,0,0,0,0,16.225006,-0.010943186,1.2307758,1.4401978
19.44444444,1.34112,0,0,0,0,16.220673,-0.012725853,1.4911445,1.5746769
18.88888889,0.44704,0,0,0,0,16.385773,-0.012006349,1.3189651,1.571802
18.88888889,0,0,0,0,0,16.252808,-0.012747332,1.5258713,1.3543016
19.44444444,0.22352,0,0.5,0,0,16.285858,-0.014948834,1.8314654,1.727376
19.16666667,0,0,41.5,0,7.2677083,16.135925,-0.013112469,1.9240158,1.3636098
20.55555556,0.44704,0,177.5,0,71.71799,16.859192,-0.056991905,1.8897738,1.0688142
21.38888889,0.44704,0,207,0,115.309204,18.189056,-0.10006591,1.6203599,0.12747139
23.05555556,0.22352,0,308,0.254,279.1247,18.358307,-0.2570052,1.3541765,0.8341814
24.44444444,0.89408,0,435.5,0.254,260.903,18.88385,-0.25370833,1.2608185,0.870062
23.05555556,0.22352,0.254,317,0.254,179.10014,19.559326,-0.18867315,1.438651,0.90713316
24.16666667,1.56464,0,606,0.254,259.2397,19.776794,-0.27042893,2.9125128,0.55678946
22.5,1.56464,0.254,315,0.254,312.676,20.562408,-0.26385668,0.53834355,0.8343831
19.16666667,2.90576,2.286,71.5,0,217.58151,19.854584,-0.19261435,1.0571429,0.33586302
18.61111111,1.34112,9.652,61.5,0,149.72966,19.685547,-0.15395406,0.6846799,0.4531492
18.33333333,1.56464,2.032,34,0,106.842705,17.897919,-0.12118945,0.21175203,0.38462082
18.33333333,2.2352,0.508,16,0,43.396423,17.691956,-0.058796052,0.07769093,0.45296878
18.61111111,2.2352,1.524,0,0,8.736216,17.508606,-0.009579351,0.09351969,0.3984398
18.61111111,0.67056,1.524,0,0,0,17.503815,-0.001675478,0.06525405,0.65878487
17.77777778,0.22352,1.016,0,0,0,17.913788,-0.001138513,0.041026156,0.6532379
17.22222222,0.44704,0,0,0,0,17.188354,0.000289758,0.052493997,0.84544176
17.77777778,0.22352,0,0,0,0,16.349274,-0.000419008,0.049586874,1.1520284
18.61111111,0.44704,0,0,0,0,15.865662,0.001170352,0.03666524,1.0975721
18.88888889,0.89408,0,0,0,0,15.692078,-0.001643261,0.020028558,1.3044219
19.44444444,0.89408,0,0,0,0,15.317078,-0.00453202,0.31431672,1.2358712
18.88888889,0.44704,0,0,0,0,15.255798,-0.002147979,0.37860125,1.1317031
19.44444444,0.89408,0,0,0,0,15.2942505,-0.005090464,0.55223423,1.119065
19.44444444,0.67056,0,0,0,0,14.228821,-0.00213724,0.29428816,0.96541864
18.88888889,0.22352,0,4,0,0,14.283569,-0.006293208,0.24130987,0.7351819
20.83333333,0.44704,0,112,0,15.899028,14.779358,-0.016452279,0.066223085,0.8522956
21.38888889,0.67056,0,224.5,0,96.278336,16.467041,-0.06706506,0.013891142,0.7520512
25.27777778,0.67056,0,545,0.254,196.42274,19.579956,-0.1575516,4.66E-07,0.25551626
25.83333333,1.1176,0,716.5,0.508,376.09232,20.008606,-0.30362308,0.01437543,1.1904621
26.38888889,1.34112,0,601,0.508,490.30765,20.4664,-0.36978588,0.15069777,1.5799023
26.94444444,1.56464,0,659.5,0.254,575.94666,22.009155,-0.43045032,0.42059597,1.789733
26.38888889,2.2352,0,599,0.508,548.3144,21.70935,-0.39810455,0.21449757,1.8223506
26.38888889,2.90576,0,696.5,0.254,449.05408,22.194702,-0.3519699,2.3202221,1.5510021
24.72222222,2.2352,0,325,0.508,446.77637,20.347992,-0.34712666,3.2176223,1.5324777
22.5,1.56464,0,81,0,315.25342,20.352966,-0.27244785,3.336016,1.4510106
21.11111111,1.34112,0,45,0,185.25896,17.874023,-0.15511388,3.1471999,0.9787117
20.27777778,1.56464,6.096,17,0,80.49917,17.691742,-0.06740869,3.082754,0.7743152
20,2.2352,2.54,0,0,21.353577,17.18814,-0.01326282,1.9320918,0.70917845
19.72222222,2.45872,6.858,0,0,0,16.938934,-0.000129046,0.058147125,0.48203143
19.44444444,2.2352,0,0,0,0,16.428375,-0.00197615,0.29606465,0.47579864
18.88888889,1.78816,0.254,0,0,0,17.08905,-0.002502376,0.4186579,0.2826824
19.44444444,0.44704,0,0,0,0,17.33609,0.003844354,0.47728932,0.5862807
19.16666667,0.89408,0,0,0,0,17.424713,0.004166533,0.31803128,0.8952804
18.88888889,0.22352,0,0,0,0,17.27179,0.006035116,0.16781874,1.0430866
18.61111111,0.22352,0,0,0,0,17.295898,-0.003995083,0.49392554,0.68869364
18.33333333,1.1176,0,0,0,0,16.515717,-0.005337468,0.2613384,0.59735215
18.33333333,0,0,0,0,0,16.039917,-0.003554771,0.24744776,0.6640401
18.33333333,0.22352,0,0,0,0,16.027527,-0.002974877,0.032465905,1.0169337
18.05555556,0.44704,0,5,0,0,15.820679,-0.001439214,0.000969507,1.0288949
20.83333333,0.44704,0,123,0,19.705208,15.798737,-0.013821235,0.000484753,0.96497357
22.22222222,0.22352,0,315.5,0,144.94945,17.213562,-0.09187207,0.000484753,0.5517771
25,0.67056,0,532.5,0.254,284.42938,19.677948,-0.2089698,4.66E-07,0.763759
25.83333333,1.34112,0,714,0.508,491.91104,20.365143,-0.3801597,0.000484753,1.4921392
27.22222222,1.56464,0,851.5,0.508,608.40405,21.077332,-0.44156516,0.09868853,1.6295623
26.94444444,1.34112,0,547.5,0.508,584.3083,21.993073,-0.42615473,0.13874517,1.6266257
27.77777778,1.78816,0,653.5,0.508,636.4259,21.976776,-0.4813423,0.24034083,1.7930614
26.38888889,2.2352,0,352,0.508,802.609,21.122528,-0.5895482,0.60650474,1.415736
24.16666667,2.01168,0,160,0.254,477.82516,21.882294,-0.38338143,0.6055352,0.9219342
23.88888889,2.45872,0,190.5,0.254,313.35034,22.453247,-0.24839255,0.07300684,0.9764687
23.33333333,2.01168,0,219,0.254,284.03976,21.005402,-0.1998739,0.11823233,1.2932382
21.66666667,1.1176,0,94,0,152.63673,19.57193,-0.1037279,0.3070482,0.9196801
20.55555556,1.34112,0,3.5,0,25.953959,18.575562,-0.020017615,0.78433704,0.22020492
20.55555556,0,0,0,0,0,18.285736,0.004026922,0.24793205,0.19202965
20.27777778,0.22352,0,0,0,0,17.953339,0.004832342,0.28136653,0.4342125
20.55555556,0,0,0,0,0,17.808624,0.011017983,0.39426842,0.4601591
20,0,0,0,0,0,17.918549,0.007474125,0.033919234,0.53286356
20.27777778,0.22352,0,0,0,0,17.79776,-0.000633794,0.041995198,0.628693
20.27777778,0,0,0,0,0,17.461243,-0.004091737,4.66E-07,0.73713076
20.55555556,0.22352,0,0,0,0,17.32022,-0.002276851,0.05524,0.6541589
20.55555556,0.22352,0,0,0,0,17.773865,-0.00181506,0.030527357,0.7361941
20.27777778,0.67056,0,0,0,0,17.143372,0.001846929,0.018090475,0.777977
19.72222222,0.22352,0,0,0,0,16.262177,0.002330169,4.66E-07,0.3894703
19.16666667,0,0,1.5,0,0,16.525269,-0.001900975,4.66E-07,0.37414536
20,0.22352,0,94.5,0,25.339548,16.984772,-0.015249534,4.66E-07,0.6153874
23.33333333,0.67056,0,300,0,176.38788,19.045288,-0.1261616,4.66E-07,0.7342346
24.16666667,0.44704,0,321,0.254,385.4879,20.811401,-0.3040419,0.08447468,1.4978361
24.44444444,0.89408,0,379,0.254,513.45935,21.265686,-0.3976535,0.26456872,1.7874811
27.22222222,1.78816,0,860.5,0.508,604.47797,21.946594,-0.45997173,0.37246338,1.9381543
27.5,1.78816,0,701.5,0.508,779.30743,23.906952,-0.55031866,0.2241889,1.8603145
27.22222222,2.01168,0,747.5,0.508,575.6769,22.307465,-0.4184656,0.8739801,1.5682949
23.88888889,1.34112,0,162.5,0.254,644.51776,23.358368,-0.51246387,0.5178307,1.5918765
24.72222222,3.12928,0,271.5,0.254,692.00507,20.845947,-0.51711375,0.41478127,1.5926778
22.22222222,3.79984,0,116.5,0.254,531.4713,18.913635,-0.39730984,0.5007098,1.7010777
21.11111111,2.45872,1.778,64,0,288.25055,18.249237,-0.25332174,1.6555712,1.3323053
19.16666667,4.24688,10.922,3.5,0,146.11827,18.581848,-0.11325336,0.18784684,0.6802772
18.33333333,2.45872,10.668,0,0,23.871042,17.839691,-0.016452279,0.93406534,0.4719946
18.33333333,0.67056,0.254,0,0,0,17.06363,-0.003844732,0.21934323,0.41410202
18.33333333,0.22352,0,0,0,0,16.731445,-0.006658346,0.19446947,0.47619188
18.33333333,0.22352,0,0,0,0,17.216583,-0.003135967,0.007107388,0.4935397
18.05555556,0,0,0,0,0,17.073425,-0.00103112,0.003392343,0.63028157
