,ghi,t_air,e,tp,windspeed
2022-01-01 00:00:00,8.071806,26.328796,-0.20297264,0.006671995,6.829267
2022-01-01 01:00:00,98.11889,26.525848,-0.22167063,0.004277099,6.6986613
2022-01-01 02:00:00,264.6202,27.460419,-0.26104188,0.002394896,7.89395
2022-01-01 03:00:00,427.24002,28.038239,-0.30144686,0.027201604,7.7970085
2022-01-01 04:00:00,564.4679,28.767242,-0.3252919,0.0013685785,7.742539
2022-01-01 05:00:00,668.01514,29.279205,-0.3425739,0.0010263175,7.7383327
2022-01-01 06:00:00,740.66516,29.345337,-0.35540977,0.014712568,7.487043
2022-01-01 07:00:00,679.7214,29.117157,-0.32299805,0.010435935,7.3406096
2022-01-01 08:00:00,546.808,29.37732,-0.32200685,0.33565935,7.8356037
2022-01-01 09:00:00,363.24985,29.141449,-0.3123074,0.12642798,6.929633
2022-01-01 10:00:00,191.27428,28.02362,-0.25891793,0.0029080547,7.187785
2022-01-01 11:00:00,72.00014,27.879303,-0.2193909,0.0,7.1819215
2022-01-01 12:00:00,2.0562847,27.420746,-0.20078494,0.00051315874,6.9843273
2022-01-01 13:00:00,-0.00041666668,27.231628,-0.1964379,0.0,6.9887238
2022-01-01 14:00:00,-0.00041666668,26.98941,-0.1940449,0.0,6.996697
2022-01-01 15:00:00,-0.00041666668,26.844604,-0.18937923,0.0,6.896972
2022-01-01 16:00:00,-0.00041666668,26.686462,-0.18634905,0.0,6.4088755
2022-01-01 17:00:00,-0.00041666668,26.491577,-0.18262503,0.0,6.118258
2022-01-01 18:00:00,-0.00041666668,26.384125,-0.1758,0.0,5.771817
2022-01-01 19:00:00,-0.00041666668,26.275482,-0.17617524,0.00051315874,5.524681
2022-01-01 20:00:00,-0.00041666668,26.23285,-0.17432739,0.0010263175,5.3955564
2022-01-01 21:00:00,-0.00041666668,26.224457,-0.17600533,0.00051315874,5.6727676
2022-01-01 22:00:00,-0.00041666668,26.286041,-0.1783417,0.00051315874,5.3062825
2022-01-01 23:00:00,-0.00041666668,26.19992,-0.1791134,0.0,5.335031
2022-01-02 00:00:00,6.1542706,26.091736,-0.187142,0.0,5.619047
2022-01-02 01:00:00,97.28385,26.116913,-0.20860822,0.0,6.156767
2022-01-02 02:00:00,227.32094,26.909882,-0.22802837,0.00051315874,6.411147
2022-01-02 03:00:00,376.14688,27.534302,-0.2513637,0.03284728,6.8389883
2022-01-02 04:00:00,472.8899,27.99942,-0.27760178,0.027714763,6.7318482
2022-01-02 05:00:00,618.793,28.938416,-0.2959245,0.06860308,6.570569
2022-01-02 06:00:00,623.4632,29.261353,-0.30247343,0.11924282,6.488581
2022-01-02 07:00:00,665.1543,29.444763,-0.29467848,0.044822693,6.1113367
2022-01-02 08:00:00,556.7823,29.726257,-0.26404378,0.021385029,5.707533
2022-01-02 09:00:00,358.5488,28.64566,-0.22991161,0.18493739,5.988027
2022-01-02 10:00:00,211.64041,28.415222,-0.21624742,0.015739352,5.1825104
2022-01-02 11:00:00,75.8816,27.927216,-0.18848717,0.0,5.3524594
2022-01-02 12:00:00,1.63875,27.466766,-0.17751335,0.0034216791,5.7562943
2022-01-02 13:00:00,-0.00041666668,27.28778,-0.17962316,0.0,5.9640007
2022-01-02 14:00:00,-0.00041666668,26.943787,-0.17989928,0.0,5.7318115
2022-01-02 15:00:00,-0.00041666668,26.853455,-0.17635931,0.0,5.452371
2022-01-02 16:00:00,-0.00041666668,26.727905,-0.1702069,0.0,5.3838286
2022-01-02 17:00:00,-0.00041666668,26.566803,-0.1678139,0.0,5.7410007
2022-01-02 18:00:00,-0.00041666668,26.455994,-0.17062461,0.0,5.6567473
2022-01-02 19:00:00,-0.00041666668,26.230804,-0.16151987,0.0,5.6226196
2022-01-02 20:00:00,-0.00041666668,25.916626,-0.16300665,0.0,5.6797166
2022-01-02 21:00:00,-0.00041666668,25.739227,-0.1693998,0.0,5.938436
2022-01-02 22:00:00,-0.00041666668,25.83493,-0.17783195,0.0,4.985109
2022-01-02 23:00:00,-0.00041666668,25.802338,-0.18611541,0.0,5.4741564
2022-01-03 00:00:00,8.427465,25.869293,-0.19105008,0.0,5.8634076
2022-01-03 01:00:00,145.93372,26.20398,-0.21360663,0.0,6.3318486
2022-01-03 02:00:00,356.8168,27.365906,-0.2553355,0.0,6.943075
2022-01-03 03:00:00,541.10175,28.154663,-0.29166952,0.0,7.152617
2022-01-03 04:00:00,704.74225,28.879486,-0.3127322,0.0,7.6229606
2022-01-03 05:00:00,781.22736,30.077087,-0.33909062,0.0029080547,7.1354003
2022-01-03 06:00:00,763.7685,30.306,-0.3429987,0.035242178,6.546629
2022-01-03 07:00:00,571.5505,30.537323,-0.267074,0.023779925,5.774774
2022-01-03 08:00:00,446.4773,30.39273,-0.22947975,0.10008179,5.096148
2022-01-03 09:00:00,297.4813,29.623962,-0.19519183,0.26123923,5.3038306
2022-01-03 10:00:00,222.6972,28.467438,-0.18586054,0.2636346,5.458786
2022-01-03 11:00:00,74.87646,28.101746,-0.16193052,0.09820005,6.198382
2022-01-03 12:00:00,1.7624652,27.754608,-0.1463335,0.12112455,6.5018888
2022-01-03 13:00:00,-0.00041666668,27.665955,-0.14801851,0.026688445,6.533924
2022-01-03 14:00:00,-0.00041666668,27.264557,-0.1623199,0.046704896,6.545362
2022-01-03 15:00:00,-0.00041666668,26.999939,-0.16761565,0.046191737,6.274509
2022-01-03 16:00:00,-0.00041666668,26.848297,-0.16281548,0.10675378,5.8499813
2022-01-03 17:00:00,-0.00041666668,26.497467,-0.1583764,0.20033494,5.2001624
2022-01-03 18:00:00,-0.00041666668,26.381989,-0.15090711,0.14541811,4.811591
2022-01-03 19:00:00,-0.00041666668,26.242554,-0.14484672,0.21641609,4.8746667
2022-01-03 20:00:00,-0.00041666668,25.977478,-0.14845747,0.060562044,5.292939
2022-01-03 21:00:00,-0.00041666668,25.859253,-0.16311993,0.010949094,5.8233595
2022-01-03 22:00:00,-0.00041666668,26.018677,-0.16388454,0.0,5.236008
2022-01-03 23:00:00,-0.00041666668,25.899841,-0.15966494,0.0,5.3258934
2022-01-04 00:00:00,6.4017015,25.84021,-0.1653076,0.0,5.5496316
2022-01-04 01:00:00,96.38695,26.141693,-0.17926915,0.0,5.9854946
2022-01-04 02:00:00,275.90897,27.461853,-0.21084547,0.0010263175,6.825753
2022-01-04 03:00:00,445.58038,28.470062,-0.23771365,0.006671995,7.4820538
2022-01-04 04:00:00,532.2718,29.101929,-0.25577447,0.008040573,6.9948907
2022-01-04 05:00:00,599.7105,30.122498,-0.25581694,0.0010263175,6.2097487
2022-01-04 06:00:00,666.49963,30.453217,-0.25006098,0.0076983124,5.8206525
2022-01-04 07:00:00,716.81964,30.775085,-0.2654881,0.010093674,5.4418097
2022-01-04 08:00:00,607.7517,30.88565,-0.24337758,0.027714763,4.933888
2022-01-04 09:00:00,441.03397,30.813904,-0.21392523,0.03712438,4.913429
2022-01-04 10:00:00,281.08942,30.18396,-0.19286256,0.014712568,4.421103
2022-01-04 11:00:00,93.4333,29.82315,-0.1698175,0.006158836,5.402607
2022-01-04 12:00:00,2.350104,29.364868,-0.1577109,0.014712568,5.754325
2022-01-04 13:00:00,-0.00041666668,28.998688,-0.16112341,0.0,5.9156127
2022-01-04 14:00:00,-0.00041666668,28.167358,-0.16279426,0.0,5.6707845
2022-01-04 15:00:00,-0.00041666668,27.599945,-0.166936,0.0,5.4882627
2022-01-04 16:00:00,-0.00041666668,27.23114,-0.17090072,0.0,5.275854
2022-01-04 17:00:00,-0.00041666668,26.771393,-0.16388454,0.00051315874,5.356579
2022-01-04 18:00:00,-0.00041666668,26.524994,-0.15448953,0.01710793,5.271926
2022-01-04 19:00:00,-0.00041666668,26.302216,-0.14265196,0.0,4.994171
2022-01-04 20:00:00,-0.00041666668,26.052704,-0.13129582,0.0,4.5048537
2022-01-04 21:00:00,-0.00041666668,25.94812,-0.118778564,0.0010263175,4.1098046
2022-01-04 22:00:00,-0.00041666668,25.977722,-0.117022745,0.0010263175,3.799457
2022-01-04 23:00:00,-0.00041666668,26.040009,-0.11982639,0.006158836,3.8942735
2022-01-05 00:00:00,6.386215,25.942963,-0.12243887,0.0071851537,3.7560024
2022-01-05 01:00:00,111.7891,26.144684,-0.13518976,0.006671995,3.8581195
2022-01-05 02:00:00,244.94995,27.343384,-0.15431963,0.008040573,4.400674
2022-01-05 03:00:00,369.853,27.97992,-0.17105648,0.004277099,4.7839093
2022-01-05 04:00:00,582.3134,28.465271,-0.20285934,0.0034216791,4.82615
2022-01-05 05:00:00,713.63403,29.457458,-0.21398187,0.016765669,4.4162583
2022-01-05 06:00:00,800.2636,29.83609,-0.22058032,0.034387223,3.8734329
2022-01-05 07:00:00,775.6139,30.00354,-0.21148974,0.004277099,3.3559422
2022-01-05 08:00:00,669.87085,30.41153,-0.19386789,0.006671995,3.8297684
2022-01-05 09:00:00,469.5806,30.509888,-0.16823868,0.05389005,4.137167
2022-01-05 10:00:00,324.2805,29.639526,-0.1486982,0.06620772,3.5558789
2022-01-05 11:00:00,100.02097,29.142303,-0.11167035,0.26123923,3.61807
2022-01-05 12:00:00,3.2779515,28.442291,-0.081262216,0.5669594,3.6340363
2022-01-05 13:00:00,-0.00041666668,28.141022,-0.07171144,0.5927924,4.1568146
2022-01-05 14:00:00,-0.00041666668,27.716736,-0.07045122,0.33942285,4.9674926
2022-01-05 15:00:00,-0.00041666668,27.47287,-0.08871026,0.023779925,5.434067
2022-01-05 16:00:00,-0.00041666668,27.292114,-0.10628963,0.002394896,5.4155054
2022-01-05 17:00:00,-0.00041666668,26.8779,-0.11381556,0.00051315874,5.0284934
2022-01-05 18:00:00,-0.00041666668,26.63617,-0.121815845,0.0,5.0402765
2022-01-05 19:00:00,-0.00041666668,26.529907,-0.13019134,0.0,4.998083
2022-01-05 20:00:00,-0.00041666668,26.298004,-0.12679301,0.0,4.7418694
2022-01-05 21:00:00,-0.00041666668,26.215485,-0.123692006,0.0,4.700671
2022-01-05 22:00:00,-0.00041666668,26.27945,-0.12328138,0.00051315874,4.196546
2022-01-05 23:00:00,-0.00041666668,26.243988,-0.12671512,0.00051315874,4.5800776
2022-01-06 00:00:00,8.30375,26.135101,-0.13166396,0.00051315874,4.797291
