,ghi,t_air,e,tp,windspeed
2022-01-01 00:00:00,0.0,12.793579,-0.015635654,0.0,2.6235776
2022-01-01 01:00:00,0.0,12.717255,-0.014304911,0.0,2.6369855
2022-01-01 02:00:00,0.0,12.470032,-0.014338599,0.0,2.4099703
2022-01-01 03:00:00,0.0,12.33313,-0.014389138,0.0,2.2604132
2022-01-01 04:00:00,0.0,12.296631,-0.014338599,0.0,2.488811
2022-01-01 05:00:00,0.0,11.978485,-0.014714809,0.0,2.5855122
2022-01-01 06:00:00,0.0,11.732086,-0.01575357,0.0,2.913185
2022-01-01 07:00:00,0.0,11.790985,-0.01764018,0.0,3.4290876
2022-01-01 08:00:00,0.4485764,11.781433,-0.022373585,0.0,3.6413205
2022-01-01 09:00:00,73.61139,13.434448,-0.03309251,0.0,4.0835857
2022-01-01 10:00:00,224.26807,16.162231,-0.060880847,0.0,2.724967
2022-01-01 11:00:00,361.8544,17.482971,-0.10098837,0.0,2.884486
2022-01-01 12:00:00,442.70474,17.92102,-0.1286588,0.0,3.5553434
2022-01-01 13:00:00,480.1369,17.887817,-0.13919243,0.0,4.3119373
2022-01-01 14:00:00,460.1834,18.598816,-0.13334166,0.0,4.459444
2022-01-01 15:00:00,365.67496,18.41504,-0.10849554,0.0,4.074737
2022-01-01 16:00:00,246.65002,18.094818,-0.077450536,0.0,3.747702
2022-01-01 17:00:00,101.685524,16.356781,-0.038533386,0.0,3.2181838
2022-01-01 18:00:00,6.898646,14.567688,-0.015764803,0.0,3.0736663
2022-01-01 19:00:00,0.0,13.385071,-0.0095153665,0.0,3.2645705
2022-01-01 20:00:00,0.0,12.560852,-0.0062699253,0.0,3.1306112
2022-01-01 21:00:00,0.0,12.470428,-0.0050290255,0.0,2.970671
2022-01-01 22:00:00,0.0,11.881805,-0.0040857266,0.0,2.7555726
2022-01-01 23:00:00,0.0,11.748657,-0.0037881255,0.0,2.4560344
2022-01-02 00:00:00,0.0,11.562408,-0.0033501564,0.0,2.0755627
2022-01-02 01:00:00,0.0,11.501434,-0.0036589773,0.0,2.1492982
2022-01-02 02:00:00,0.0,11.73996,-0.0044506886,0.0,2.0881264
2022-01-02 03:00:00,0.0,11.442535,-0.004956033,0.0,1.8853211
2022-01-02 04:00:00,0.0,11.421387,-0.0054726116,0.0,1.7489804
2022-01-02 05:00:00,0.0,11.282013,-0.0062418547,0.0,1.7229252
2022-01-02 06:00:00,0.0,11.2048645,-0.0071627144,0.0,1.7712599
2022-01-02 07:00:00,0.0,11.099091,-0.004613525,0.0,1.7691206
2022-01-02 08:00:00,0.40215278,10.562317,-0.0045292983,0.0,1.0312808
2022-01-02 09:00:00,70.20847,11.403534,-0.009285155,0.0,0.8346409
2022-01-02 10:00:00,210.23875,14.125916,-0.03364838,0.0,1.1620598
2022-01-02 11:00:00,347.7323,15.720032,-0.0704094,0.0,1.1553264
2022-01-02 12:00:00,437.04355,16.742126,-0.10049987,0.0,0.9702426
2022-01-02 13:00:00,484.82367,17.637268,-0.116828114,0.0,0.51183456
2022-01-02 14:00:00,468.33496,18.250366,-0.11558722,0.0,0.12938467
2022-01-02 15:00:00,390.14508,18.226318,-0.097501494,0.0,0.45372725
2022-01-02 16:00:00,263.2934,18.106842,-0.0659006,0.0,1.2710131
2022-01-02 17:00:00,112.6058,16.590302,-0.025983987,0.0,1.6631014
2022-01-02 18:00:00,7.5019097,14.919037,-0.0048044315,0.0,2.1248655
2022-01-02 19:00:00,0.0,14.435791,-0.0065506757,0.0,2.2185733
2022-01-02 20:00:00,0.0,13.816895,-0.004310321,0.0,2.1925526
2022-01-02 21:00:00,0.0,13.592499,-0.002743749,0.0,2.1573327
2022-01-02 22:00:00,0.0,12.660828,-0.001761131,0.0,2.1149888
2022-01-02 23:00:00,0.0,12.521027,-0.0015477708,0.0,2.1095142
2022-01-03 00:00:00,0.0,12.470856,-0.0016263803,0.0,1.9715352
2022-01-03 01:00:00,0.0,12.292053,-0.0022159512,0.0,1.8385397
2022-01-03 02:00:00,0.0,12.004608,-0.0031480305,0.0,1.8463204
2022-01-03 03:00:00,0.0,11.769836,-0.0040127197,0.0,1.8022939
2022-01-03 04:00:00,0.0,11.744934,-0.0047595096,0.0,1.7527369
2022-01-03 05:00:00,0.0,11.207764,-0.005399619,0.0,1.6915028
2022-01-03 06:00:00,0.0,10.972137,-0.00581512,0.0,1.5720226
2022-01-03 07:00:00,0.0,11.16629,-0.0060677994,0.0,1.4074152
2022-01-03 08:00:00,0.38670138,11.677734,-0.0071570976,0.0,1.5201855
2022-01-03 09:00:00,70.50236,13.153198,-0.015394209,0.0,1.7279636
2022-01-03 10:00:00,224.11339,15.215637,-0.04146438,0.0,0.99096364
2022-01-03 11:00:00,360.74072,17.443573,-0.08018501,0.0,1.2525357
2022-01-03 12:00:00,455.3884,18.303467,-0.11367252,0.0,1.7222762
2022-01-03 13:00:00,493.71768,18.189392,-0.12629491,0.0,2.0470638
2022-01-03 14:00:00,471.676,18.008545,-0.123010166,0.0,2.2996085
2022-01-03 15:00:00,394.9401,17.861267,-0.10422258,0.0,2.2875888
2022-01-03 16:00:00,270.00644,17.662567,-0.071347095,0.0,1.9825315
2022-01-03 17:00:00,117.86486,16.635925,-0.028022215,0.0,1.4113568
2022-01-03 18:00:00,8.213403,14.987488,-0.0030918745,0.0,1.4167604
2022-01-03 19:00:00,0.0,14.607941,-0.0012557866,0.0,1.3081565
2022-01-03 20:00:00,0.0,14.299744,-0.0008739735,0.0,1.3727062
2022-01-03 21:00:00,0.0,14.332092,-0.0007560593,0.0,1.640966
2022-01-03 22:00:00,0.0,12.214081,-0.00062691106,0.0,2.0690405
2022-01-03 23:00:00,0.0,11.813782,-0.00034055847,0.0,2.6641903
2022-01-04 00:00:00,0.0,11.45166,0.00045115303,0.0,3.1274178
2022-01-04 01:00:00,0.0,11.542084,0.0015123805,0.0,3.1989934
2022-01-04 02:00:00,0.0,11.842834,0.003196852,0.0,3.2319562
2022-01-04 03:00:00,0.0,11.794281,0.0047016656,0.0,3.3360162
2022-01-04 04:00:00,0.0,11.898834,0.0067848014,0.0,3.309123
2022-01-04 05:00:00,0.0,12.368378,0.009362062,0.0,3.1417656
2022-01-04 06:00:00,0.0,12.488281,0.0114789,0.0,3.4015355
2022-01-04 07:00:00,0.0,12.947052,0.0063131447,0.0,3.827161
2022-01-04 08:00:00,0.38670138,13.164825,0.004993635,0.0028111972,5.2813945
2022-01-04 09:00:00,70.7808,15.190735,-0.045069173,0.12877491,7.637657
2022-01-04 10:00:00,150.08434,14.434143,-0.111561306,0.065324366,7.5270743
2022-01-04 11:00:00,188.69205,14.289764,-0.14263438,0.023827422,6.2822084
2022-01-04 12:00:00,231.67715,14.864716,-0.13070826,0.03962312,7.213562
2022-01-04 13:00:00,256.02353,14.549438,-0.12291472,0.043906737,9.850827
2022-01-04 14:00:00,382.16367,14.667267,-0.1365085,0.07442711,10.549858
2022-01-04 15:00:00,322.99924,14.807037,-0.12569411,0.015260186,10.250826
2022-01-04 16:00:00,216.75072,14.455688,-0.109927356,0.0028111972,10.134589
2022-01-04 17:00:00,92.698715,13.40625,-0.08854005,0.001873821,9.615358
2022-01-04 18:00:00,7.826736,12.714325,-0.07497997,0.0052205287,8.221622
2022-01-04 19:00:00,0.0,12.624329,-0.07464307,0.0,7.0921116
2022-01-04 20:00:00,0.0,12.216583,-0.06349742,0.0,5.513855
2022-01-04 21:00:00,0.0,11.957733,-0.058101453,0.0,6.125019
2022-01-04 22:00:00,0.0,11.772736,-0.056254137,0.0005355105,5.805657
2022-01-04 23:00:00,0.0,11.680634,-0.0514309,0.0,6.0287304
2022-01-05 00:00:00,0.0,11.564087,-0.05395763,0.0052205287,6.1472745
2022-01-05 01:00:00,0.0,11.705109,-0.0613132,0.008567236,6.226368
2022-01-05 02:00:00,0.0,11.613037,-0.06693937,0.0,5.145521
2022-01-05 03:00:00,0.0,10.9800415,-0.05682686,0.0,4.345705
2022-01-05 04:00:00,0.0,10.742767,-0.054232754,0.0,4.087682
2022-01-05 05:00:00,0.0,10.636993,-0.057820704,0.0,4.2144704
2022-01-05 06:00:00,0.0,10.877167,-0.054788638,0.0,4.2597556
2022-01-05 07:00:00,0.0,10.601318,-0.052402284,0.0,3.631858
2022-01-05 08:00:00,0.37121528,10.653564,-0.042351544,0.0005355105,3.2614512
2022-01-05 09:00:00,61.15979,11.869385,-0.04822477,0.0048191287,4.0916038
2022-01-05 10:00:00,179.04015,13.944244,-0.0712741,0.012850855,2.8324318
2022-01-05 11:00:00,285.47427,14.974213,-0.097630635,0.055820215,3.40259
2022-01-05 12:00:00,373.90384,15.414734,-0.13815367,0.13827951,5.4920273
2022-01-05 13:00:00,304.00473,15.191986,-0.1393328,0.16451627,6.6957293
2022-01-05 14:00:00,276.9051,14.955139,-0.13089354,0.13453141,7.4557424
2022-01-05 15:00:00,245.13417,15.060486,-0.1273056,0.08540368,6.9581943
2022-01-05 16:00:00,211.90927,14.848938,-0.112936966,0.012850855,6.7516975
2022-01-05 17:00:00,70.00739,14.502991,-0.084312,0.014323276,6.2886977
2022-01-05 18:00:00,4.269132,14.520813,-0.0639073,0.0009369105,5.7526298
2022-01-05 19:00:00,0.0,14.568939,-0.053390518,0.0,5.9613547
