longitude,latitude,time,ssrd,t2m,u10,v10,e,tp,t_air,ghi,,,,
-83.5,9.75,1/1/2020 0:00,16339.5,289.18842,-0.77163804,-0.5595001,-2.08E-06,1.01E-06,16.038422,4.53875,,,,
-83.5,9.75,1/1/2020 1:00,-0.125,288.6327,-0.48798394,-0.34069723,6.17E-07,2.77E-06,15.482697,-3.47E-05,,,,
-83.5,9.75,1/1/2020 2:00,-0.125,288.65717,-0.14825612,-0.27202398,-2.08E-08,5.79E-06,15.507172,-3.47E-05,,,,
-83.5,9.75,1/1/2020 3:00,-0.125,288.49765,0.4995414,0.79386765,1.22E-08,2.77E-06,15.347656,-3.47E-05,,,,Total Precipitation
-83.5,9.75,1/1/2020 4:00,-0.125,288.42474,0.44324362,0.8538769,-3.28E-07,5.04E-07,15.27475,-3.47E-05,,,,3.37
-83.5,9.75,1/1/2020 5:00,-0.125,287.9042,0.3906045,0.7860558,-1.03E-06,5.04E-07,14.754211,-3.47E-05,,,,
-83.5,9.75,1/1/2020 6:00,-0.125,288.19455,0.3688022,0.7604187,-2.23E-06,4.78E-06,15.044556,-3.47E-05,,,,
-83.5,9.75,1/1/2020 7:00,-0.125,288.3556,0.40703082,0.6919585,-2.64E-06,9.31E-10,15.205597,-3.47E-05,,,,
-83.5,9.75,1/1/2020 8:00,-0.125,287.25388,0.4131534,0.79543,-2.67E-06,9.31E-10,14.103882,-3.47E-05,,,,
-83.5,9.75,1/1/2020 9:00,-0.125,286.7446,0.41233206,0.8152437,-3.02E-06,9.31E-10,13.5946045,-3.47E-05,,,,
-83.5,9.75,1/1/2020 10:00,-0.125,287.44586,0.42987847,0.7384035,-3.87E-06,9.31E-10,14.295868,-3.47E-05,,,,
-83.5,9.75,1/1/2020 11:00,-0.125,287.84705,0.36925018,0.7959271,-3.64E-06,9.31E-10,14.697052,-3.47E-05,,,,
-83.5,9.75,1/1/2020 12:00,1628.125,288.01132,0.3934418,0.94641185,-3.74E-06,9.31E-10,14.861328,0.45225695,,,,
-83.5,9.75,1/1/2020 13:00,295625.25,288.75726,0.38478053,0.9318533,-2.52E-05,9.31E-10,15.607269,82.118126,,,,
-83.5,9.75,1/1/2020 14:00,876409.1,291.14917,-0.68786335,-0.039230786,-0.000134199,9.31E-10,17.999176,243.44698,,,,
-83.5,9.75,1/1/2020 15:00,1692693.1,291.90286,-1.3681403,-0.8526576,-0.000301004,5.04E-07,18.752869,470.19254,,,,
-83.5,9.75,1/1/2020 16:00,2235273.8,292.09634,-1.6674742,-1.2549679,-0.000416072,5.04E-07,18.94635,620.90936,,,,
-83.5,9.75,1/1/2020 17:00,2682491.2,292.94568,-1.9897302,-1.6310731,-0.000505426,9.31E-10,19.795685,745.1365,,,,
-83.5,9.75,1/1/2020 18:00,2824547.2,292.64508,-2.0707421,-1.7072031,-0.000537646,9.31E-10,19.495087,784.59644,,,,
-83.5,9.75,1/1/2020 19:00,3174192.2,292.57617,-1.8899025,-1.6665105,-0.000602603,9.31E-10,19.426178,881.7201,,,,
-83.5,9.75,1/1/2020 20:00,2030243.2,292.37646,-1.8682495,-1.6942071,-0.000422325,9.31E-10,19.22647,563.9565,,,,
-83.5,9.75,1/1/2020 21:00,1837540.2,292.00397,-1.815685,-1.5361946,-0.000358159,9.31E-10,18.853973,510.42786,,,,
-83.5,9.75,1/1/2020 22:00,1376134.5,290.88904,-1.8677269,-1.5005442,-0.00025308,9.31E-10,17.739044,382.25958,,,,
-83.5,9.75,1/1/2020 23:00,509029,289.9963,-1.1987991,-0.99043024,-8.91E-05,9.31E-10,16.846313,141.39694,,,,
